TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	Acreage	County	List Date	Contract Date	Off Mkt Dt	Closed Date
AT	950	N	Michigan	AVE	5301	Chicago	Illinois	60611	8008		299	299	181	Condo, High Rise (7+ Stories)		1984	07145339	CLSD		599000	500000	500000	599000	Cash	N/A	83%	83%	167	167	17032070681154	No			8240		2007	759	No		No			53		1560					N (North), S (South), W (West)	4	1	1	0	1	1	1.1				None	None	What a view! What a price! What a location! Panoramic views overlooking the city from SE to W with picture windows in the LR, DR and BR. Almost 1600 sqft, this unit has 10' ceilings, hardwood floors, SS appliances and granite countertops. The master bath has European marble with tub, separate shower and dressing area. Full amenity luxury building with indoor pool/sundeck, exercise room and 24hr doorman.	Rental parking is available in the building.		Central Air, Zoned	Electric, Radiant, Zoned		Hardwood Floors, Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Door Person, Elevator, Exercise Room, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Service Elevator, Whirlpool	Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal												Hardwood			Hardwood	Hardwood	Full	Carpet				19X13	18X21	14X09		12X14	Gallery	Separate Shower	Separate			Cook	02/26/2009	08/11/2009	08/11/2009	09/10/2009
AT	950	N	MICHIGAN	AVE	3401	Chicago	Illinois	60611	8008		299	299	182	Condo, High Rise (7+ Stories)		1984	07185788	CLSD		719500	674500	674500	674500	FHA	N/A	100%	94%	294	110	17032070681135	No			8019	Homeowner	2007	646	No		No			34		1560					N (North), S (South), W (West), City	5	1	1	0	1	1	1.1	0	2	Attached	None	None	HEIRLOOM-CALIBER RENOV OF A 1600 SQFT HOME IN THE GOLD COAST'S PREMIER & MOST SOUGHT-AFTER FULL-AMENITY BLDG;PRESENTLY A 1BD/1.1BA CAN EASILY BE USED AS A 2BD;IMPECCABLE CHERRY/STONE PROF GRADE CHEF'S KTCHN INCL 54" SUBZERO & 80 BOTL DUAL-ZONE WINE STRGE OPENS TO SEP DIN RM W/FOREVER WESTERN/SUNSET VIEWS T/O HOME;SPA-CALIBER HONEY ONYX BTHS T/O INCL MSTR W/SHWR W/SPRAYS & SEP JET TUB;W/D;DUAL WLK-INS;GRGE PKG IN BLDG	ONE DOG ONLY UP TO 30lbs. OWNER IS AN IL LICENSED R.E. AGENT. PLEASE SEE VIRTUAL TOUR LINK FOR INTERACTIVE FLOORPLAN		Central Air, Zoned	Electric, Radiant, Indv Controls, Zoned		Elevator, 1st Floor Bedroom, Laundry Hook-Up in Unit, Storage, Flexicore		Oven/Range, Microwave, Dishwasher, Refrigerator, Refrigerator-Bar, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Health Club, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Air Conditioning, Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal, Other		Mora	(312) 664-6055		Yes							Marble	TV-Cable, Fire Sprinklers, CO Detectors		Marble	Marble	Full	Carpet				22X13	21X19	16X10		14X12	Foyer, Gallery, Utility Room-1st Floor, Walk In Closet	Whirlpool, Separate Shower, Double Sink, Bidet	Separate	Storms/Screens, End Unit		Cook	04/13/2009	07/31/2009	07/31/2009	10/07/2009
AT	950	N	Michigan	AVE	4601	Chicago	Illinois	60611	8008		299	299	182	Condo, High Rise (7+ Stories)		1984	07238704	CLSD		549000	485000	485000	499900	Conventional	N/A	97%	88%	155	155	17032070681147	No			9338.56	None	2008	740	No		No			46		1570					S (South), W (West), City	4	1	1	0	1	1	1.1		2	Attached	None	None	Fabulous exciting dramatic views. Excellent location on Michigan Ave. High floor huge 1BR, 1 1/2BA with 10' ceilings. Separate dining room could be used as bedroom or den. 1570 sqft. Good opportunity for new owner to decorate. Master has large bath, dressing room & walk-in closet.			Central Air	Electric, Radiant		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Indoors, Receiving Room, Service Elevator, Valet/Cleaner	Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal												Other	TV-Cable, Fire Sprinklers		Ceramic Tile	Other	Full	Carpet				13X20	18X21	14X09		12X14			Combined w/ LivRm			Cook	06/08/2009	11/09/2009	11/09/2009	01/15/2010
AT	950	N	Michigan	AVE	5402	Chicago	Illinois	60611	8008		299	299	182	Condo, High Rise (7+ Stories)		1984	07368713	CLSD		1550000	1425000	1425000	1550000	Cash	N/A	92%	92%	500	19	17032070681087				19362.69	None	2007	1400	No		No			54		0	Not Reported				S (South), E (East), City, Lake/Water	5	2	2	0	2	1	2.1		1	Attached	None		Reduced over $700,000! Highly renovated 2-bedroom, 2.5-bathroom high-floor unit. Outdoor terrace. Amazing Michigan Avenue and Lake Michigan views. 24-hour door staff, health club and indoor pool. Located at the corner of Michigan & Oak Street, you find yourself surrounded by the best of the best shops and restaurants. Walking distance to the lake, parks, museums, and all that the city has to offer. OWNER IS A SELLER!	Easy to show! Please call Listing Agent's office or cell phone!		Central Air, Zoned	Electric		Vaulted/Cathedral Ceilings, Hardwood Floors		Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Sundeck, Pool-Indoors	Common Insurance, Security, Pool, Exterior Maintenance							Hardwood					Hardwood	Humidifier, Air Cleaner		Hardwood	Hardwood	Full	Hardwood	13X12			21X15	18X16	14X10		14X13	Foyer			Balcony		Cook	10/29/2009	11/16/2009	11/16/2009	12/04/2009
AT	950	N	MICHIGAN	AVE	3405	Chicago	Illinois	60611	8008		299	299	182	Condo, High Rise (7+ Stories)		1984	07664549	CLSD		925000	810000	810000	849999	Conventional	N/A	95%	88%	281	281	17032070681041	No			12870	None	2009	1007	No		No	No		34		1860	Estimated				E (East)	5	2	2	0	3	1	3.1		2	Attached	None	None	ANOTHER FABULOUS '05 UNIT IS NOW AVAILABLE AT ONE MAG MILE! THE VIEWS ARE SPECTACULAR, FROM THE LAKE & OAK STREET BEACH TO THE PALMOLIVE BLDG & EAST LSD. HARDWOOD FLOORS THRUOUT ENTIRE APT. NEWLY RENOVATED KITCHEN OPEN TO LIV/DINING ROOM-PERFECT FOR ENTERTAINING. MASTER HAS HIS/HER BATHS & 2 WICS! A+ BLDG W/FAB AMENITIES: INDOOR POOL & SPA, EXERCISE ROOM, ROOF DECK. VALET PKG. ONE 30# DOG ALLOWED. PERFECT LOCATION!	THE '05 TIER IS MOST SOUGHT AFTER 2BED IN BLDG. INCREDIBLE PROTECTED VIEWS. BATHS NEED UPDATING.		Central Air, Zoned	Electric		Hardwood Floors, Laundry Hook-Up in Unit	NO	Oven/Range, Microwave, Dishwasher, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Service Elevator, Whirlpool	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger, Snow Removal							Hardwood								Hardwood	Hardwood	Y	Hardwood	14X12			15X16	33X18	19X14		COMBO	Foyer		Combined w/ LivRm			Cook	10/26/2010	08/02/2011	08/02/2011	09/01/2011
AT	950	N	MICHIGAN	AVE	2803	Chicago	Illinois	60611	8008		299	299	181	Condo, High Rise (7+ Stories)		1984	07474257	CLSD		1375000	1300000	1300000	1375000	Conventional	N/A	95%	95%	125	125	17032070681095	No			14418	Homeowner	2008	1200	Yes		No			28		2430					N (North), E (East), W (West), City, Lake/Water	6	3	3	0	2	1	2.1		4	Attached	None		GRACIOUS RENOVATED HM W/EXCEPTIONALLY SPACIOUS RMS & VIEWS NORTH, EAST & WEST. PERFECT FOR GRAND ENTERTAINING. LOVELY HDWD FLRS. 9 FT CEILINGS. MASTER SUITE W/ADJACENT LIBRARY (OR BDRM). ONE-OF-A-KIND MSTR BATH W/LARGE PICTURE WINDOW. BRIGHT EAT-IN-KITCHEN. TEN CLOSETS. PREMIER BLDG W/GREAT AMENITIES INCLUDING ON-SITE MGMT TEAM, INDOOR POOL, HEALTH CLUB & VALET PARKING. ONE MAG MILE IS A SUPERB LOCATION.	GARAGE PARKING, 1 DOG ALLOWED.  TEN CLOSETS INCLUDE 2 WALK-INS, 2 HALLWAY, GUEST/COAT, STORAGE, UTILITY, 2BR CLOSET, PANTRY, & STORAGE LOCKER ON 21ST FLR.		Central Air	Radiant		Laundry Hook-Up in Unit	No	Oven-Double, Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, On Site Manager/Engineer, Pool-Indoors	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool	ON-SITE	MAURA OR PENNY	(312) 664-6055														Full		13X12	14X13		20X13	19X27	10X09		13X12	Gallery, Library, Utility Room-1st Floor		Combined w/ LivRm	End Unit		Cook	03/18/2010	07/20/2010	07/20/2010	08/23/2010
AT	950	N	MICHIGAN	AVE	3206	Chicago	Illinois	60611	8008		299	299	181	Condo, High Rise (7+ Stories)		1984	07493953	CLSD		1950000	1975000	1975000	1995000	Cash	N/A	99%	101%	37	37	17032070681011	No			17967	None	2008	1547	No		No			32		3100					S (South), E (East), W (West), City, Lake/Water	8	4	4	0	4	1	4.1		1	Attached	None	None	SELDOM AVAILABLE 06 UNIT IN PRESTIGIOUS BLDG KNOWN AS ONE MAGNIFICENT MILE.THIS 3BR + LIBRARY 4 ½ BATH RESIDENCE PORTRAYS UTMOST COMFORT & SOPHISTICATION FEATURING AN EXTRAORDINARILY SPACIOUS LR OFFERING EXTENSIVE VIEWS OF MICHIGAN AVE & THE LAKE.LOVELY SEPARATE DR.BEAUTIFUL NEW KITCHEN W/LRG BANQUETTE DINING AREA.FULL AMENITY BLDG W/POOL,EXERCISE RM & DECK.A STUNNING MARBLE LOBBY ANCHORS THE RESIDENTIAL UNITS ABOVE.			Central Air	Electric		Bar-Wet	No	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Elevator, Exercise Room, Storage, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room	Water, Common Insurance, Doorman, Scavenger													TV-Cable, Fire Sprinklers				Full		18X18	16X11	15X12	18X16	32X18	15X13		16X13	Foyer		Separate			Cook	04/08/2010	05/14/2010	05/14/2010	08/17/2010
AT	950	N	MICHIGAN	AVE	3505	Chicago	Illinois	60610	8008		299	299	164	Condo		1984	07518255	CLSD		949500	936000	936000	969000	Conventional	N/A	97%	99%	117	117	17032070681042	No			12250		2008	1011	No		No			35		1860					N (North), E (East)	6	2	2	0	2	1	2.1	1	2	Attached	None		ELEGANCE AND COMFORT IN THIS RENOVATED TWO BEDROOM HOME AT ONE MAG MILE. OPEN FLOOR PLAN, RICH MILLWORK & NON-STOP LAKE VIEWS. KITCHEN W/TOP APPLIANCES, BUTLERS PANTRY & CUSTOM CABINETRY OPENS TO LR/DR - PERFECT FOR ENTERTAINING. THE MOST BEAUTIFUL MASTER BR - HUGE WALK-IN CLOSET. 9' CEILINGS, PREMIERE BLDG IN BEST LOCATION. ON-SITE MGMT, POOL, DECK, HEALTH CLUB & VALET PKG. A TRULY LOVELY HOME IN THE SKY.	THIS IS A GORGEOUS HOME-VERY ELEGANT. MASSIVE CLOSETS, INCLUDING MASTER WALK-IN CLOSET. ONE DOG ALLOWED. GARAGE VALET PARKING. DINING ROOM AND FOYER FIXTURES EXCLUDED.		Central Air	Electric, Forced Air		Elevator, Hardwood Floors, Laundry Hook-Up in Unit	No	Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Sundeck, Pool-Indoors, Service Elevator	Water, Common Insurance, Doorman							Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	12X14			15X16	18X33	19X14		COMBO	Foyer, Pantry		Combined w/ LivRm			Cook	05/03/2010	08/27/2010	08/27/2010	10/20/2010
AT	950	N	MICHIGAN	AVE	3604	Chicago	Illinois	60611	8008		299	299	181	Condo		1984	07555858	CLSD		749000	650000	650000	749000	Conventional	N/A	87%	87%	24	24	17032070681172				10996	None	2008	898	Yes		No			28		1830					N (North), E (East), W (West), City, Lake/Water	5	2	2	0	3	1	3.1		1	Attached	None		WONDERFUL OPPORTUNITY TO CREATE YOUR OWN DREAM HOME AT ONE MAG MILE. SPACIOUS LIVING & DINING ROOMS W/2 BEDROOMS PLUS 3.5 BATHS. MASTER SUITE & GUEST SUITE OFFER WEST, CITY & SUNSET VIEWS. PREMIER BUILDING WITH EVERY AMENITY. BANK OWNED & PREPARED TO SELL. AS/IS.			Central Air	Electric, Forced Air		Laundry Hook-Up in Unit	No	Oven/Range, Dishwasher, Washer, Dryer		Bike Room/Bike Trails, Door Person, Elevator, Exercise Room, On Site Manager/Engineer, Pool-Indoors	Water, Common Insurance, Doorman, Exercise Facilities, Pool	ON-SITE	MAURA OR PENNY	(312) 664-6055				Carpet					Carpet			Other	Carpet	Y	Carpet	13X12			15X14	20X16	11X10		14X12	Foyer, Gallery		Separate			Cook	06/15/2010	07/08/2010	07/08/2010	08/23/2010
AT	950	N	MICHIGAN	AVE	3404	Chicago	Illinois	60611	8008	ONE MAGNIFICENT MILE	299	299	182	Condo, High Rise (7+ Stories)		1984	07574101	CLSD		810000	680000	680000	698000	Cash	N/A	97%	84%	384	384	17032070681170	No			9561.11	Homeowner	2009	876	No		No	No		34	CONDO	1830	Builder				S (South), W (West)	5	2	2	0	3	1	3.1	0	2	Attached	None	None	ONE MAG MILE HIGH IN THE SKY, WEST CITY AND OAK STREET VIEWS FROM THIS PRESTINE 2 BEDROOM. HARDWOOD FLOORS IN MAIN AREAS, GRANITE ENTRY, NEW DESIGNER KITCHEN WITH MAPLE CABINETS, BREAKFAST NOOK AND SS APPLIANCES. HIS AND HERS BATHS, BUILT-INS IN MASTER BEDROOM, FORMAL DINNING ROOM, HUGE CLOSETS. PREMIERE GOLD COAST BUILDING WITH EXCELLENT AMENITIES. LIVE IN LUXURY ON CHICAGO'S MAGNIFICENT MILE.			Central Air, Zoned	Electric, Radiant, Zoned		Hardwood Floors, Laundry Hook-Up in Unit	NO	Oven-Double, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Sundeck, Pool-Indoors, Receiving Room, Sauna, Security Door Locks, Service Elevator	Water, Common Insurance, Security, Security System, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				96	Yes		Carpet					Hardwood	TV-Cable, Fire Sprinklers		Hardwood	Hardwood	Full	Carpet	12X13			15X14	16X24	10X12		12X15	Foyer	Separate Shower	Separate	Storms/Screens		Cook	07/07/2010	07/25/2011	07/25/2011	09/01/2011
